latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-28.296,127.18,322.8,3.5,1.8,2018-10-17,0100,T,71,6.0NRT,301.7,73.5,D
-28.327,127.172,327.5,3.5,1.8,2018-10-17,0100,T,52,6.0NRT,300.6,94.3,D
-28.365,127.343,316.4,3.4,1.7,2018-10-17,0100,T,28,6.0NRT,302.3,33.6,D
-28.305,127.172,331.6,3.5,1.8,2018-10-17,0100,T,82,6.0NRT,301.4,134,D
-28.313,127.207,323.1,3.5,1.8,2018-10-17,0100,T,44,6.0NRT,303.2,72.1,D
-28.32,127.168,321.1,3.5,1.8,2018-10-17,0100,T,39,6.0NRT,300.7,60.1,D
-28.359,127.34,315.7,3.4,1.7,2018-10-17,0100,T,37,6.0NRT,302.7,32.2,D
-28.359,127.194,349,3.5,1.8,2018-10-17,0100,T,94,6.0NRT,301.7,309,D
-28.398,127.219,333.3,3.4,1.7,2018-10-17,0100,T,83,6.0NRT,300.2,151.7,D
-28.886,129.433,332.1,2.4,1.5,2018-10-17,0100,T,81,6.0NRT,303.7,73,D
-28.444,127.279,340.2,3.4,1.7,2018-10-17,0100,T,89,6.0NRT,301.1,208.4,D
-28.452,127.313,326.3,3.4,1.7,2018-10-17,0100,T,75,6.0NRT,301.1,90.2,D
-28.367,127.184,333.9,3.5,1.8,2018-10-17,0100,T,84,6.0NRT,298.8,162.2,D
-28.391,127.214,337.3,3.4,1.7,2018-10-17,0100,T,87,6.0NRT,300.9,188.8,D
-28.88,129.428,325.7,2.4,1.5,2018-10-17,0100,T,58,6.0NRT,303.3,44.7,D
-28.437,127.274,333.7,3.4,1.7,2018-10-17,0100,T,84,6.0NRT,301.7,150.3,D
-28.445,127.308,331.6,3.4,1.7,2018-10-17,0100,T,82,6.0NRT,302.6,131.7,D
-33.009,137.594,315.4,1,1,2018-10-17,0100,T,0,6.0NRT,301.3,3.5,D
-34.167,142.283,314,1.8,1.3,2018-10-17,0100,T,30,6.0NRT,290.6,18,D
-4.087,144.358,309,1,1,2018-10-17,0055,T,24,6.0NRT,280.5,6,D
-5.344,147.005,313,1.5,1.2,2018-10-17,0055,T,0,6.0NRT,295,13.6,D
-5.559,145.297,309.1,1.2,1.1,2018-10-17,0055,T,49,6.0NRT,284,7,D
-6.246,146.246,311.6,1.4,1.2,2018-10-17,0055,T,41,6.0NRT,291.1,8.7,D
-8.772,142.769,313.4,1,1,2018-10-17,0055,T,58,6.0NRT,285.8,9.1,D
-10.877,142.439,317.5,1,1,2018-10-17,0055,T,44,6.0NRT,297.9,7.1,D
-10.878,142.448,319.2,1,1,2018-10-17,0055,T,55,6.0NRT,298.2,9,D
-11.208,142.629,320.4,1,1,2018-10-17,0055,T,70,6.0NRT,296.6,12.2,D
-12.181,141.973,336.5,1,1,2018-10-17,0055,T,85,6.0NRT,299,27.2,D
-12.182,141.982,330.1,1,1,2018-10-17,0055,T,79,6.0NRT,298.9,17.9,D
-12.184,141.992,364.7,1,1,2018-10-17,0055,T,100,6.0NRT,300.7,88.5,D
-12.185,142.001,383.8,1,1,2018-10-17,0055,T,100,6.0NRT,305,159.9,D
-12.186,142.01,337.7,1,1,2018-10-17,0055,T,86,6.0NRT,302.9,26.7,D
-12.188,142.019,343.2,1,1,2018-10-17,0055,T,90,6.0NRT,303.1,35.1,D
-12.189,142.029,329.2,1,1,2018-10-17,0055,T,69,6.0NRT,303.7,12.7,D
-12.19,141.975,331.6,1,1,2018-10-17,0055,T,80,6.0NRT,300,18.8,D
-12.191,141.984,335.8,1,1,2018-10-17,0055,T,85,6.0NRT,300.5,23.8,D
-12.193,141.993,337.1,1,1,2018-10-17,0055,T,86,6.0NRT,302.8,25.5,D
-12.195,142.012,327.1,1,1,2018-10-17,0055,T,74,6.0NRT,303.8,10.6,D
-12.197,142.021,331.7,1,1,2018-10-17,0055,T,81,6.0NRT,304.1,15.5,D
-12.198,142.03,330,1,1,2018-10-17,0055,T,79,6.0NRT,303.9,13.5,D
-12.244,142.223,328.9,1,1,2018-10-17,0055,T,60,6.0NRT,304.2,13.1,D
-12.261,142.211,328.1,1,1,2018-10-17,0055,T,60,6.0NRT,303.8,12.2,D
-12.266,142.182,324.9,1,1,2018-10-17,0055,T,23,6.0NRT,303.9,8.5,D
-12.267,142.191,348.2,1,1,2018-10-17,0055,T,93,6.0NRT,305.6,45.4,D
-12.273,142.105,322.9,1,1,2018-10-17,0055,T,62,6.0NRT,303,7.6,D
-12.281,142.094,325.8,1,1,2018-10-17,0055,T,69,6.0NRT,302.5,11.1,D
