latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
56.18889,41.95367,315.9,0.62,0.72,2018-10-19,0106,N,nominal,1.0NRT,276.2,1.6,N
56.1904,41.9563,316.9,0.62,0.72,2018-10-19,0106,N,nominal,1.0NRT,275.8,2.6,N
56.42333,39.44899,295.4,0.51,0.66,2018-10-19,0106,N,nominal,1.0NRT,280.1,0.9,N
61.80761,15.99723,315.5,0.42,0.38,2018-10-19,0106,N,nominal,1.0NRT,272.3,1.7,N
59.38563,28.46327,310.8,0.56,0.43,2018-10-19,0106,N,nominal,1.0NRT,279.4,2.4,N
59.49876,26.52714,299.4,0.49,0.4,2018-10-19,0106,N,nominal,1.0NRT,278.5,1.8,N
60.28516,22.29241,319.6,0.4,0.37,2018-10-19,0106,N,nominal,1.0NRT,280.6,2.1,N
60.61229,16.79039,306.4,0.4,0.37,2018-10-19,0106,N,nominal,1.0NRT,274.9,2.2,N
54.5483,39.73146,295.2,0.63,0.72,2018-10-19,0106,N,nominal,1.0NRT,279.9,1.3,N
54.16824,37.71727,318.7,0.56,0.69,2018-10-19,0106,N,nominal,1.0NRT,272.6,1.7,N
54.16804,37.71202,302.8,0.56,0.69,2018-10-19,0106,N,nominal,1.0NRT,274.2,2.3,N
58.6743,17.13393,327.2,0.39,0.36,2018-10-19,0106,N,nominal,1.0NRT,277.8,2.7,N
52.55631,39.6188,309.2,0.75,0.77,2018-10-19,0106,N,nominal,1.0NRT,281.5,3.5,N
52.54231,39.63124,304.2,0.75,0.77,2018-10-19,0106,N,nominal,1.0NRT,280.9,2.7,N
